Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
ML_6__33__8,ML_6__33,2.0,6.0,7.0,7.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,1.0,1.0,,1.0,1.0,,3
MH69__70__8,MH69__70,2.0,5.0,5.0,5.0,,8.0,7.0,7.0,,8.0,10.0,7.0,,7.0,7.0,,10.0,10.0,,3
TCB94__72__8,TCB94__72,2.0,4.0,4.0,4.0,,10.0,8.0,8.0,,10.0,8.0,8.0,,5.0,5.0,,5.0,7.0,,3
CH86__73__8,CH86__73,2.0,3.0,2.0,3.0,,8.0,8.0,7.0,,10.0,10.0,10.0,,7.0,8.0,,7.0,7.0,,3
TN_1__232__8,TN_1__232,1.0,3.0,3.0,3.0,,5.0,5.0,5.0,,7.0,9.0,8.0,,1.0,1.0,,1.0,1.0,,3
ML_1__28__9,ML_1__28,1.0,3.0,5.0,6.0,,9.0,9.0,7.0,,10.0,10.0,10.0,,7.0,10.0,,10.0,10.0,,3
ML_2__29__9,ML_2__29,1.0,3.0,3.0,3.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_3__30__9,ML_3__30,2.0,3.0,2.0,3.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_5__32__9,ML_5__32,2.0,2.0,2.0,2.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,3.0,,3
ML_6__33__9,ML_6__33,2.0,5.0,3.0,4.0,,7.0,8.0,9.0,,7.0,7.0,7.0,,5.0,4.0,,1.0,1.0,,3
MH69__70__9,MH69__70,2.0,4.0,5.0,5.0,,10.0,10.0,6.0,,8.0,8.0,8.0,,6.0,7.0,,8.0,9.0,,3
TCB94__72__9,TCB94__72,2.0,4.0,4.0,4.0,,10.0,8.0,8.0,,10.0,9.0,8.0,,5.0,5.0,,2.0,1.0,,3
